day,time,address,district,accident_types,suspect_vehicle,victim_vehicle,lat,long
Sunday,Evening,dg. regge,tallo,TL,R2,R2,-5.1249285,119.433072
Monday,Night,pettarani,rappocini,TK,B2,R2,-5.1510383,119.4374766
Sunday,Evening,andi tonro,tamalate,TL,R4,R4,-5.1719829,119.423857
Saturday,Afternoon,sultan alauddin,tamalate,TK,R4,R2,-5.1682367,119.4209823
Saturday,Morning,dr. leimena,manggala,TK,R4,R2,-5.1499864,119.4710753
Saturday,Morning,nipa nipa,manggala,TK,R4,R2,-5.1624042,119.5001015
Friday,Evening,abdullah daeng sirua,panakkukang,TL,R2,R2,-5.1513443,119.4494392
Saturday,Evening,sunu,tallo,OC,R2,NOV,-5.1247334,119.4296097
Thursday,Morning,andi mappaodang,tamalate,OC,R4,NOV,-5.1732205,119.4158686
Tuesday,Afternoon,metro tanjung bunga,tamalate,TL,R4,R4,-5.1661576,119.3917443
Monday,Afternoon,datuk ditiro,tallo,TL,R2,R4,-5.1272385,119.431099
Monday,Morning,perintis kemerdekaan,tamalanrea,OC,R2,NOV,-5.1402715,119.48329437389705
Thursday,Night,insinyur sutami,biringkanaya,TL,R4,NOV,-5.0762253,119.515201
Monday,Morning,jenderal sudirman,ujung pandang,TK,R2,R2,-5.1345222,119.4137962
Monday,Morning,adyaksa,panakkukang,TL,R4,R2,-5.1572501,119.4479499
Monday,Evening,bakung,biringkanaya,OC,R2,NOV,-5.0875939,119.5334226
Wednesday,Afternoon,janggo paropo,panakkukang,TK,R2,R2,-5.1492387,119.4589298
Tuesday,Night,sungai saddang,makassar,T,R2,NOV,-5.1468435,119.4250654
Monday,Morning,urip sumuharjo,panakkukang,TK,R2,R4,-5.1348243,119.4316818
Wednesday,Evening,kaswari,mariso,TL,R4,R4,-5.1521162,119.4147322
Thursday,Morning,daeng tata raya iii,tamalate,T,R2,NOV,-5.1850019,119.423432
Friday,Morning,urip sumuharjo,panakkukang,TM,R2,NOV,-5.1348243,119.4316818
Friday,Evening,thamrin,ujung pandang,TK,B1,R4,-5.1365726,119.4091304
Saturday,Afternoon,satelit i,biringkanaya,TK,R2,R2,-5.1290339,119.510128
Saturday,Morning,pettarani,panakkukang,TL,R4,R2,-5.1487126,119.4380057
Saturday,Afternoon,jipang raya,rappocini,TK,R4,R2,-5.1778861,119.4504384
